-577:11:00,-577:11:00
269:09:02,269:09:02
-392:09:02,-392:09:02
-476:07:01,-476:07:01
-313:10:04,-313:10:04
760:09:02,760:09:02
-49:03:00,-49:03:00
552:12:02,552:12:02
818:08:02,818:08:02
510:12:01,510:12:01
-62:01:00,-62:01:00
-18:11:02,-18:11:02
-94:14:00,-94:14:00
-254:09:05,-254:09:05
226:12:05,226:12:05
789:09:03,789:09:03
-377:11:02,-377:11:02
31:12:02,31:12:02
271:07:05,271:07:05
-78:08:03,-78:08:03
617:15:04,617:15:04
117:09:05,117:09:05
243:15:00,243:15:00
-627:08:02,-627:08:02
487:15:04,487:15:04
-806:07:02,-806:07:02
83:12:04,83:12:04
736:15:03,736:15:03
423:14:00,423:14:00
-635:11:04,-635:11:04
-180:13:04,-180:13:04
-111:14:02,-111:14:02
-199:16:04,-199:16:04
-694:16:03,-694:16:03
291:07:05,291:07:05
-70:10:02,-70:10:02
-103:13:05,-103:13:05
666:12:04,666:12:04
218:11:01,218:11:01
-163:16:00,-163:16:00
76:16:01,76:16:01
567:08:01,567:08:01
-341:16:05,-341:16:05
533:14:03,533:14:03
-692:15:00,-692:15:00
379:08:01,379:08:01
585:08:00,585:08:00
18:08:04,18:08:04
432:10:00,432:10:00
24:13:00,24:13:00
522:14:00,522:14:00
568:09:04,568:09:04
740:12:00,740:12:00
28:07:00,28:07:00
-608:09:00,-608:09:00
447:08:02,447:08:02
170:09:04,170:09:04
-684:11:01,-684:11:01
-694:06:00,-694:06:00
336:14:05,336:14:05
320:16:01,320:16:01
195:05:00,195:05:00
706:10:03,706:10:03
69:09:02,69:09:02
-722:14:04,-722:14:04
-704:14:04,-704:14:04
-58:08:00,-58:08:00
329:10:04,329:10:04
483:07:01,483:07:01
30:14:04,30:14:04
298:09:05,298:09:05
-118:07:02,-118:07:02
772:16:01,772:16:01
107:11:03,107:11:03
-599:10:01,-599:10:01
-642:13:01,-642:13:01
-822:13:02,-822:13:02
394:15:00,394:15:00
-591:12:00,-591:12:00
779:10:05,779:10:05
373:11:00,373:11:00
-94:15:04,-94:15:04
-720:06:00,-720:06:00
666:16:00,666:16:00
534:11:00,534:11:00
761:08:03,761:08:03
-745:07:05,-745:07:05
-458:10:02,-458:10:02
794:11:02,794:11:02
-819:10:01,-819:10:01
-25:12:00,-25:12:00
-664:06:00,-664:06:00
322:09:05,322:09:05
-658:03:00,-658:03:00
767:16:02,767:16:02
-298:16:05,-298:16:05
-89:11:05,-89:11:05
439:12:01,439:12:01
3:08:00,3:08:00
-293:08:05,-293:08:05
-655:08:00,-655:08:00
459:15:05,459:15:05
-665:07:03,-665:07:03
-731:09:01,-731:09:01
-300:13:01,-300:13:01
-827:07:04,-827:07:04
173:08:04,173:08:04
319:13:02,319:13:02
-376:09:03,-376:09:03
-80:13:05,-80:13:05
-278:08:01,-278:08:01
-332:14:02,-332:14:02
-582:16:00,-582:16:00
-487:06:00,-487:06:00
-819:08:01,-819:08:01
837:09:04,837:09:04
-262:04:00,-262:04:00
-718:08:04,-718:08:04
-278:07:01,-278:07:01
148:13:05,148:13:05
-717:15:00,-717:15:00
-170:14:03,-170:14:03
54:07:03,54:07:03
6:10:01,6:10:01
-473:03:00,-473:03:00
-111:10:02,-111:10:02
76:16:00,76:16:00
0:13:02,0:13:02
-590:07:05,-590:07:05
-326:14:02,-326:14:02
333:14:02,333:14:02
811:15:04,811:15:04
185:11:02,185:11:02
-66:08:02,-66:08:02
574:04:00,574:04:00
-757:13:05,-757:13:05
-606:12:02,-606:12:02
459:11:05,459:11:05
-803:09:03,-803:09:03
526:06:00,526:06:00
826:10:04,826:10:04
332:14:04,332:14:04
-662:08:01,-662:08:01
260:07:03,260:07:03
322:08:04,322:08:04
-256:01:00,-256:01:00
253:12:03,253:12:03
684:11:05,684:11:05
-245:07:05,-245:07:05
240:07:05,240:07:05
-556:16:05,-556:16:05
734:12:04,734:12:04
-149:11:05,-149:11:05
163:13:03,163:13:03
-482:16:05,-482:16:05
668:06:00,668:06:00
-147:12:05,-147:12:05
-197:10:03,-197:10:03
-699:14:05,-699:14:05
711:13:01,711:13:01
-748:13:02,-748:13:02
-649:05:00,-649:05:00
503:11:04,503:11:04
400:16:03,400:16:03
